Hydrogen,H,1.00794,1
Helium,He,4.002602,2
Lithium,Li,6.941,3
Beryllium,Be,9.012182,4
Boron,B,10.811,5
Carbon,C,12.0107,6
Nitrogen,N,14.0067,7
Oxygen,O,15.9994,8
Fluorine,F,18.9984032,9
Neon,Ne,20.1797,10
Sodium,Na,22.9897,11
Magnesium,Mg,24.305,12
Aluminum,Al,26.9815386,13
Silicon,Si,28.0855,14
Phosphorus,P,30.973762,15
Sulfur,S,32.065,16
Chlorine,Cl,35.453,17
Argon,Ar,39.948,18
Potassium,K,39.0983,19
Calcium,Ca,40.078,20
Scandium,Sc,44.955912,21
Titanium,Ti,47.867,22
Vanadium,V,50.9415,23
Chromium,Cr,51.9961,24
Manganese,Mn,54.938045,25
Iron,Fe,55.845,26
Cobalt,Co,58.933195,27
Nickel,Ni,58.6934,28
Copper,Cu,63.546,29
Zinc,Zn,65.38,30
Gallium,Ga,69.723,31
Germanium,Ge,72.64,32
Arsenic,As,74.9216,33
Selenium,Se,78.96,34
Bromine,Br,79.904,35
Krypton,Kr,83.798,36
Rubidium,Rb,85.4678,37
Strontium,Sr,87.62,38
Yttrium,Y,88.90585,39
Zirconium,Zr,91.224,40
Niobium,Nb,92.90638,41
Molybdenum,Mo,95.96,42
Technetium,Tc,98,43
Ruthenum,Ru,101.07,44
Rhodium,Rh,102.9055,45
Palladium,Pd,106.42,46
Silver,Ag,107.8682,47
Cadmium,Cd,112.411,48
Indium,In,114.818,49
Tin,Sn,118.71,50
Antimony,Sb,121.76,51
Tellurium,Te,127.6,52
Iodine,In,126.90447,53
Xenon,Xe,131.293,54
Cesium,Cs,132.9054519,55
Barium,Ba,137.327,56
Lanthanum,La,138.90547,57
Cerium,Ce,140.116,58
Praseodymium,Pr,140.90765,59
Neodymium,Nd,144.242,60
Promethium,Pm,145,61
Samarium,Sm,150.36,62
Europium,Eu,151.964,63
Gadolinium,Gd,157.25,64
Terbium,Tb,158.92535,65
Dysprosium,Dy,162.5,66
Holmium,Ho,164.93032,67
Erbium,Er,167.259,68
Thulium,Tm,168.93421,69
Ytterbium,Yb,173.054,70
Lutetium,Lu,174.9668,71
Hafnium,Hf,178.49,72
Tantalum,Ta,180.94788,73
Tungsten,W,183.84,74
Rhenium,Re,186.207,75
Osmium,Os,190.23,76
Iridium,Ir,192.217,77
Platinum,Pt,195.084,78
Gold,Au,196.966569,79
Mercury,Hg,200.59,80
Thallium,Tl,204.3833,81
Lead,Pb,207.2,82
Bismuth,Bi,208.9804,83
Polonium,Po,209,84
Astatine,At,210,85
Radon,Rn,222,86
Francium,Fr,223,87
Radium,Ra,226,88
Actinium,Ac,227,89
Thorium,Th,232.03806,90
Protactinium,Pa,231.03588,91
Uranium,U,238.02891,92
Neptunium,Np,237,93
Plutonium,Pu,244,94
Americium,Am,243,95
Curium,Cm,247,96
Berkelium,Bk,247,97
Californium,Cf,251,98
Einsteinium,Es,252,99
